source,league,season,source_name,panel_club,matched
wikipedia,serie_a,2013/14,Lazio,Lazio,True
wikipedia,serie_a,2013/14,Livorno,Livorno,True
wikipedia,serie_a,2013/14,Milan,Milan,True
wikipedia,serie_a,2013/14,Napoli,Napoli,True
wikipedia,serie_a,2013/14,Roma,Roma,True
wikipedia,serie_a,2013/14,Sampdoria,Sampdoria,True
wikipedia,serie_a,2013/14,Sassuolo,Sassuolo,True
wikipedia,serie_a,2014/15,Atalanta,Atalanta,True
wikipedia,serie_a,2014/15,Cagliari,Cagliari,True
wikipedia,serie_a,2014/15,Cesena,Cesena,True
wikipedia,serie_a,2014/15,Chievo,Chievo,True
wikipedia,serie_a,2014/15,Internazionale,Inter,True
wikipedia,serie_a,2014/15,Juventus,Juventus,True
wikipedia,serie_a,2014/15,Lazio,Lazio,True
wikipedia,serie_a,2014/15,Milan,Milan,True
wikipedia,serie_a,2014/15,Udinese,Udinese,True
wikipedia,serie_a,2015/16,Bologna,Bologna,True
wikipedia,serie_a,2015/16,Carpi,Carpi,True
wikipedia,serie_a,2015/16,Empoli,Empoli,True
wikipedia,serie_a,2015/16,Fiorentina,Fiorentina,True
wikipedia,serie_a,2015/16,Hellas Verona,Verona,True
wikipedia,serie_a,2015/16,Lazio,Lazio,True
wikipedia,serie_a,2015/16,Milan,Milan,True
wikipedia,serie_a,2015/16,Napoli,Napoli,True
wikipedia,serie_a,2015/16,Palermo,Palermo,True
wikipedia,serie_a,2015/16,Roma,Roma,True
wikipedia,serie_a,2015/16,Sampdoria,Sampdoria,True
wikipedia,serie_a,2015/16,Udinese,Udinese,True
wikipedia,serie_a,2016/17,Atalanta,Atalanta,True
wikipedia,serie_a,2016/17,Crotone,Crotone,True
wikipedia,serie_a,2016/17,Empoli,Empoli,True
wikipedia,serie_a,2016/17,Genoa,Genoa,True
wikipedia,serie_a,2016/17,Internazionale,Inter,True
wikipedia,serie_a,2016/17,Lazio,Lazio,True
wikipedia,serie_a,2016/17,Milan,Milan,True
wikipedia,serie_a,2016/17,Palermo,Palermo,True
wikipedia,serie_a,2016/17,Pescara,Pescara,True
wikipedia,serie_a,2016/17,Sampdoria,Sampdoria,True
wikipedia,serie_a,2016/17,Torino,Torino,True
wikipedia,serie_a,2016/17,Udinese,Udinese,True
wikipedia,serie_a,2017/18,Benevento,Benevento,True
wikipedia,serie_a,2017/18,Cagliari,Cagliari,True
wikipedia,serie_a,2017/18,Chievo,Chievo,True
wikipedia,serie_a,2017/18,Crotone,Crotone,True
wikipedia,serie_a,2017/18,Fiorentina,Fiorentina,True
wikipedia,serie_a,2017/18,Genoa,Genoa,True
wikipedia,serie_a,2017/18,Internazionale,Inter,True
wikipedia,serie_a,2017/18,Milan,Milan,True
wikipedia,serie_a,2017/18,Roma,Roma,True
wikipedia,serie_a,2017/18,Sassuolo,Sassuolo,True
wikipedia,serie_a,2017/18,Torino,Torino,True
wikipedia,serie_a,2017/18,Udinese,Udinese,True
wikipedia,serie_a,2018/19,Bologna,Bologna,True
wikipedia,serie_a,2018/19,Cagliari,Cagliari,True
wikipedia,serie_a,2018/19,Chievo,Chievo,True
wikipedia,serie_a,2018/19,Empoli,Empoli,True
wikipedia,serie_a,2018/19,Fiorentina,Fiorentina,True
wikipedia,serie_a,2018/19,Frosinone,Frosinone,True
wikipedia,serie_a,2018/19,Genoa,Genoa,True
wikipedia,serie_a,2018/19,Napoli,Napoli,True
wikipedia,serie_a,2018/19,Roma,Roma,True
wikipedia,serie_a,2018/19,Sassuolo,Sassuolo,True
wikipedia,serie_a,2018/19,Udinese,Udinese,True
wikipedia,serie_a,2019/20,Brescia,Brescia,True
wikipedia,serie_a,2019/20,Cagliari,Cagliari,True
wikipedia,serie_a,2019/20,Fiorentina,Fiorentina,True
wikipedia,serie_a,2019/20,Genoa,Genoa,True
wikipedia,serie_a,2019/20,Hellas Verona,Verona,True
wikipedia,serie_a,2019/20,Internazionale,Inter,True
wikipedia,serie_a,2019/20,Juventus,Juventus,True
wikipedia,serie_a,2019/20,Milan,Milan,True
wikipedia,serie_a,2019/20,Napoli,Napoli,True
wikipedia,serie_a,2019/20,Roma,Roma,True
wikipedia,serie_a,2019/20,Sampdoria,Sampdoria,True
wikipedia,serie_a,2019/20,SPAL,Spal,True
wikipedia,serie_a,2019/20,Torino,Torino,True
wikipedia,serie_a,2019/20,Udinese,Udinese,True
wikipedia,serie_a,2020/21,Cagliari,Cagliari,True
wikipedia,serie_a,2020/21,Crotone,Crotone,True
wikipedia,serie_a,2020/21,Fiorentina,Fiorentina,True
wikipedia,serie_a,2020/21,Genoa,Genoa,True
wikipedia,serie_a,2020/21,Juventus,Juventus,True
wikipedia,serie_a,2020/21,Parma,Parma,True
wikipedia,serie_a,2020/21,Torino,Torino,True
wikipedia,serie_a,2021/22,Cagliari,Cagliari,True
wikipedia,serie_a,2021/22,Empoli,Empoli,True
wikipedia,serie_a,2021/22,Fiorentina,Fiorentina,True
wikipedia,serie_a,2021/22,Genoa,Genoa,True
wikipedia,serie_a,2021/22,Hellas Verona,Verona,True
wikipedia,serie_a,2021/22,Inter Milan,Inter,True
wikipedia,serie_a,2021/22,Juventus,Juventus,True
wikipedia,serie_a,2021/22,Lazio,Lazio,True
wikipedia,serie_a,2021/22,Napoli,Napoli,True
wikipedia,serie_a,2021/22,Roma,Roma,True
wikipedia,serie_a,2021/22,Salernitana,Salernitana,True
wikipedia,serie_a,2021/22,Sampdoria,Sampdoria,True
wikipedia,serie_a,2021/22,Sassuolo,Sassuolo,True
wikipedia,serie_a,2021/22,Spezia,Spezia,True
wikipedia,serie_a,2021/22,Torino,Torino,True
wikipedia,serie_a,2021/22,Udinese,Udinese,True
wikipedia,serie_a,2021/22,Venezia,Venezia,True
wikipedia,serie_a,2022/23,Bologna,Bologna,True
wikipedia,serie_a,2022/23,Cremonese,Cremonese,True
wikipedia,serie_a,2022/23,Empoli,Empoli,True
wikipedia,serie_a,2022/23,Hellas Verona,Verona,True
wikipedia,serie_a,2022/23,Monza,Monza,True
wikipedia,serie_a,2022/23,Salernitana,Salernitana,True
wikipedia,serie_a,2022/23,Sampdoria,Sampdoria,True
wikipedia,serie_a,2022/23,Spezia,Spezia,True
wikipedia,serie_a,2022/23,Udinese,Udinese,True
wikipedia,serie_a,2023/24,Empoli,Empoli,True
wikipedia,serie_a,2023/24,Frosinone,Frosinone,True
wikipedia,serie_a,2023/24,Hellas Verona,Verona,True
wikipedia,serie_a,2023/24,Juventus,Juventus,True
wikipedia,serie_a,2023/24,Lazio,Lazio,True
wikipedia,serie_a,2023/24,Lecce,Lecce,True
wikipedia,serie_a,2023/24,Napoli,Napoli,True
wikipedia,serie_a,2023/24,Roma,Roma,True
wikipedia,serie_a,2023/24,Salernitana,Salernitana,True
wikipedia,serie_a,2023/24,Sassuolo,Sassuolo,True
wikipedia,serie_a,2023/24,Udinese,Udinese,True
wikipedia,serie_a,2024/25,Bologna,Bologna,True
wikipedia,serie_a,2024/25,Cagliari,Cagliari,True
wikipedia,serie_a,2024/25,Como,Como,True
wikipedia,serie_a,2024/25,Empoli,Empoli,True
wikipedia,serie_a,2024/25,Fiorentina,Fiorentina,True
wikipedia,serie_a,2024/25,Genoa,Genoa,True
wikipedia,serie_a,2024/25,Hellas Verona,Verona,True
wikipedia,serie_a,2024/25,Juventus,Juventus,True
wikipedia,serie_a,2024/25,Lazio,Lazio,True
wikipedia,serie_a,2024/25,Lecce,Lecce,True
wikipedia,serie_a,2024/25,AC Milan,Milan,True
wikipedia,serie_a,2024/25,Monza,Monza,True
wikipedia,serie_a,2024/25,Napoli,Napoli,True
wikipedia,serie_a,2024/25,Parma,Parma,True
wikipedia,serie_a,2024/25,Roma,Roma,True
wikipedia,serie_a,2024/25,Torino,Torino,True
wikipedia,serie_a,2024/25,Udinese,Udinese,True
wikipedia,serie_a,2024/25,Venezia,Venezia,True
transfermarkt,premier_league,2004/05,Portsmouth FC,Portsmouth,True
transfermarkt,premier_league,2004/05,Manchester City,Man City,True
transfermarkt,premier_league,2004/05,Southampton FC,Southampton,True
transfermarkt,premier_league,2004/05,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2004/05,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2004/05,Blackburn Rovers,Blackburn,True
transfermarkt,premier_league,2004/05,Newcastle United,Newcastle,True
transfermarkt,premier_league,2005/06,Charlton Athletic,Charlton,True
transfermarkt,premier_league,2005/06,Middlesbrough FC,Middlesbrough,True
transfermarkt,premier_league,2005/06,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2005/06,Newcastle United,Newcastle,True
transfermarkt,premier_league,2005/06,Portsmouth FC,Portsmouth,True
transfermarkt,premier_league,2006/07,Manchester City,Man City,True
transfermarkt,premier_league,2006/07,Wigan Athletic,Wigan,True
transfermarkt,premier_league,2006/07,Newcastle United,Newcastle,True
transfermarkt,premier_league,2006/07,Bolton Wanderers,Bolton,True
transfermarkt,premier_league,2006/07,Fulham FC,Fulham,True
transfermarkt,premier_league,2006/07,Charlton Athletic,Charlton,True
transfermarkt,premier_league,2006/07,West Ham United,West Ham,True
transfermarkt,premier_league,2006/07,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2007/08,Blackburn Rovers,Blackburn,True
transfermarkt,premier_league,2007/08,Manchester City,Man City,True
transfermarkt,premier_league,2007/08,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2007/08,Newcastle United,Newcastle,True
transfermarkt,premier_league,2007/08,Fulham FC,Fulham,True
transfermarkt,premier_league,2007/08,Birmingham City,Birmingham,True
transfermarkt,premier_league,2007/08,Derby County,Derby,True
transfermarkt,premier_league,2007/08,Wigan Athletic,Wigan,True
transfermarkt,premier_league,2007/08,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2007/08,Bolton Wanderers,Bolton,True
transfermarkt,premier_league,2008/09,Wigan Athletic,Wigan,True
transfermarkt,premier_league,2008/09,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2008/09,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2008/09,Newcastle United,Newcastle,True
transfermarkt,premier_league,2008/09,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2008/09,Portsmouth FC,Portsmouth,True
transfermarkt,premier_league,2008/09,Blackburn Rovers,Blackburn,True
transfermarkt,premier_league,2008/09,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2008/09,West Ham United,West Ham,True
transfermarkt,premier_league,2009/10,Liverpool FC,Liverpool,True
transfermarkt,premier_league,2009/10,Fulham FC,Fulham,True
transfermarkt,premier_league,2009/10,Portsmouth FC,Portsmouth,True
transfermarkt,premier_league,2009/10,Hull City,Hull,True
transfermarkt,premier_league,2009/10,West Ham United,West Ham,True
transfermarkt,premier_league,2009/10,Burnley FC,Burnley,True
transfermarkt,premier_league,2009/10,Bolton Wanderers,Bolton,True
transfermarkt,premier_league,2009/10,Manchester City,Man City,True
transfermarkt,premier_league,2010/11,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2010/11,Birmingham City,Birmingham,True
transfermarkt,premier_league,2010/11,Fulham FC,Fulham,True
transfermarkt,premier_league,2010/11,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2010/11,West Ham United,West Ham,True
transfermarkt,premier_league,2010/11,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2010/11,Liverpool FC,Liverpool,True
transfermarkt,premier_league,2010/11,Blackburn Rovers,Blackburn,True
transfermarkt,premier_league,2010/11,Newcastle United,Newcastle,True
transfermarkt,premier_league,2011/12,Liverpool FC,Liverpool,True
transfermarkt,premier_league,2011/12,Wolverhampton Wanderers,Wolves,True
transfermarkt,premier_league,2011/12,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2011/12,Swansea City,Swansea,True
transfermarkt,premier_league,2011/12,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2011/12,Norwich City,Norwich,True
transfermarkt,premier_league,2011/12,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2011/12,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2011/12,Queens Park Rangers,QPR,True
transfermarkt,premier_league,2011/12,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2012/13,Everton FC,Everton,True
transfermarkt,premier_league,2012/13,Manchester City,Man City,True
transfermarkt,premier_league,2012/13,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2012/13,Manchester United,Man United,True
transfermarkt,premier_league,2012/13,Wigan Athletic,Wigan,True
transfermarkt,premier_league,2012/13,Stoke City,Stoke,True
transfermarkt,premier_league,2012/13,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2012/13,Reading FC,Reading,True
transfermarkt,premier_league,2012/13,Southampton FC,Southampton,True
transfermarkt,premier_league,2012/13,Queens Park Rangers,QPR,True
transfermarkt,premier_league,2013/14,Southampton FC,Southampton,True
transfermarkt,premier_league,2013/14,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2013/14,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2013/14,Manchester United,Man United,True
transfermarkt,premier_league,2013/14,Norwich City,Norwich,True
transfermarkt,premier_league,2013/14,Fulham FC,Fulham,True
transfermarkt,premier_league,2013/14,Swansea City,Swansea,True
transfermarkt,premier_league,2013/14,Cardiff City,Cardiff,True
transfermarkt,premier_league,2013/14,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2013/14,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2014/15,West Ham United,West Ham,True
transfermarkt,premier_league,2014/15,Leicester City,Leicester,True
transfermarkt,premier_league,2014/15,Newcastle United,Newcastle,True
transfermarkt,premier_league,2014/15,Queens Park Rangers,QPR,True
transfermarkt,premier_league,2014/15,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2014/15,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2014/15,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2014/15,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2015/16,Watford FC,Watford,True
transfermarkt,premier_league,2015/16,Southampton FC,Southampton,True
transfermarkt,premier_league,2015/16,Manchester City,Man City,True
transfermarkt,premier_league,2015/16,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2015/16,Everton FC,Everton,True
transfermarkt,premier_league,2015/16,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2015/16,Manchester United,Man United,True
transfermarkt,premier_league,2015/16,Newcastle United,Newcastle,True
transfermarkt,premier_league,2015/16,Swansea City,Swansea,True
transfermarkt,premier_league,2015/16,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2015/16,Liverpool FC,Liverpool,True
transfermarkt,premier_league,2016/17,Hull City,Hull,True
transfermarkt,premier_league,2016/17,Southampton FC,Southampton,True
transfermarkt,premier_league,2016/17,Middlesbrough FC,Middlesbrough,True
transfermarkt,premier_league,2016/17,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2016/17,Sunderland AFC,Sunderland,True
transfermarkt,premier_league,2016/17,Watford FC,Watford,True
transfermarkt,premier_league,2016/17,Leicester City,Leicester,True
transfermarkt,premier_league,2016/17,Swansea City,Swansea,True
transfermarkt,premier_league,2017/18,Arsenal FC,Arsenal,True
transfermarkt,premier_league,2017/18,Swansea City,Swansea,True
transfermarkt,premier_league,2017/18,Stoke City,Stoke,True
transfermarkt,premier_league,2017/18,Everton FC,Everton,True
transfermarkt,premier_league,2017/18,West Ham United,West Ham,True
transfermarkt,premier_league,2017/18,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2017/18,Southampton FC,Southampton,True
transfermarkt,premier_league,2017/18,Watford FC,Watford,True
transfermarkt,premier_league,2017/18,Leicester City,Leicester,True
transfermarkt,premier_league,2017/18,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2018/19,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2018/19,Newcastle United,Newcastle,True
transfermarkt,premier_league,2018/19,Brighton & Hove Albion,Brighton,True
transfermarkt,premier_league,2018/19,Manchester United,Man United,True
transfermarkt,premier_league,2018/19,Fulham FC,Fulham,True
transfermarkt,premier_league,2018/19,Leicester City,Leicester,True
transfermarkt,premier_league,2018/19,Huddersfield Town,Huddersfield,True
transfermarkt,premier_league,2018/19,Southampton FC,Southampton,True
transfermarkt,premier_league,2019/20,Watford FC,Watford,True
transfermarkt,premier_league,2019/20,West Ham United,West Ham,True
transfermarkt,premier_league,2019/20,Arsenal FC,Arsenal,True
transfermarkt,premier_league,2019/20,Everton FC,Everton,True
transfermarkt,premier_league,2019/20,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2020/21,Everton FC,Everton,True
transfermarkt,premier_league,2020/21,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2020/21,Sheffield United,Sheffield United,True
transfermarkt,premier_league,2020/21,Wolverhampton Wanderers,Wolves,True
transfermarkt,premier_league,2020/21,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2020/21,Fulham FC,Fulham,True
transfermarkt,premier_league,2020/21,West Bromwich Albion,West Brom,True
transfermarkt,premier_league,2020/21,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2021/22,Watford FC,Watford,True
transfermarkt,premier_league,2021/22,Burnley FC,Burnley,True
transfermarkt,premier_league,2021/22,Manchester United,Man United,True
transfermarkt,premier_league,2021/22,Leeds United,Leeds,True
transfermarkt,premier_league,2021/22,Everton FC,Everton,True
transfermarkt,premier_league,2021/22,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2021/22,Newcastle United,Newcastle,True
transfermarkt,premier_league,2021/22,Norwich City,Norwich,True
transfermarkt,premier_league,2021/22,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2022/23,Leicester City,Leicester,True
transfermarkt,premier_league,2022/23,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2022/23,Leeds United,Leeds,True
transfermarkt,premier_league,2022/23,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2022/23,Southampton FC,Southampton,True
transfermarkt,premier_league,2022/23,AFC Bournemouth,Bournemouth,True
transfermarkt,premier_league,2022/23,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2022/23,Everton FC,Everton,True
transfermarkt,premier_league,2022/23,Wolverhampton Wanderers,Wolves,True
transfermarkt,premier_league,2022/23,Aston Villa,Aston Villa,True
transfermarkt,premier_league,2022/23,Brighton & Hove Albion,Brighton,True
transfermarkt,premier_league,2023/24,Liverpool FC,Liverpool,True
transfermarkt,premier_league,2023/24,West Ham United,West Ham,True
transfermarkt,premier_league,2023/24,Chelsea FC,Chelsea,True
transfermarkt,premier_league,2023/24,Burnley FC,Burnley,True
transfermarkt,premier_league,2023/24,Brighton & Hove Albion,Brighton,True
transfermarkt,premier_league,2023/24,Crystal Palace,Crystal Palace,True
transfermarkt,premier_league,2023/24,Nottingham Forest,Nott'm Forest,True
transfermarkt,premier_league,2023/24,Sheffield United,Sheffield United,True
transfermarkt,premier_league,2023/24,Wolverhampton Wanderers,Wolves,True
transfermarkt,premier_league,2024/25,Brentford FC,Brentford,True
transfermarkt,premier_league,2024/25,Leicester City,Leicester,True
transfermarkt,premier_league,2024/25,Tottenham Hotspur,Tottenham,True
transfermarkt,premier_league,2024/25,Southampton FC,Southampton,True
transfermarkt,premier_league,2024/25,Everton FC,Everton,True
transfermarkt,premier_league,2024/25,West Ham United,West Ham,True
transfermarkt,premier_league,2024/25,Wolverhampton Wanderers,Wolves,True
transfermarkt,premier_league,2024/25,Manchester United,Man United,True
transfermarkt,la_liga,2004/05,CD Numancia,Numancia,True
transfermarkt,la_liga,2004/05,Sevilla FC,Sevilla,True
transfermarkt,la_liga,2004/05,Valencia CF,Valencia,True
transfermarkt,la_liga,2004/05,Athletic Bilbao,Ath Bilbao,True
transfermarkt,la_liga,2004/05,Racing Santander,Santander,True
transfermarkt,la_liga,2004/05,Albacete Balompié,,False
transfermarkt,la_liga,2004/05,Deportivo de La Coruña,La Coruna,True
transfermarkt,la_liga,2004/05,Atlético de Madrid,Ath Madrid,True
transfermarkt,la_liga,2004/05,Getafe CF,Getafe,True
transfermarkt,la_liga,2004/05,Levante UD,Levante,True
transfermarkt,la_liga,2004/05,Málaga CF,Malaga,True
transfermarkt,la_liga,2004/05,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2004/05,RCD Mallorca,Mallorca,True
transfermarkt,la_liga,2005/06,Atlético de Madrid,Ath Madrid,True
transfermarkt,la_liga,2005/06,Málaga CF,Malaga,True
transfermarkt,la_liga,2005/06,Racing Santander,Santander,True
transfermarkt,la_liga,2005/06,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2005/06,CA Osasuna,Osasuna,True
transfermarkt,la_liga,2005/06,Real Betis Balompié,,False
transfermarkt,la_liga,2005/06,RCD Espanyol Barcelona,,False
transfermarkt,la_liga,2005/06,Cádiz CF,Cadiz,True
transfermarkt,la_liga,2005/06,Real Zaragoza,Zaragoza,True
transfermarkt,la_liga,2005/06,Real Sociedad,Sociedad,True
transfermarkt,la_liga,2005/06,Deportivo Alavés,Alaves,True
transfermarkt,la_liga,2005/06,RCD Mallorca,Mallorca,True
transfermarkt,la_liga,2005/06,Athletic Bilbao,Ath Bilbao,True
transfermarkt,la_liga,2006/07,Real Betis Balompié,,False
transfermarkt,la_liga,2006/07,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2006/07,Deportivo de La Coruña,La Coruna,True
transfermarkt,la_liga,2006/07,Gimnàstic de Tarragona,Gimnastic,True
transfermarkt,la_liga,2006/07,Racing Santander,Santander,True
transfermarkt,la_liga,2006/07,Recreativo Huelva,,False
transfermarkt,la_liga,2006/07,Real Sociedad,Sociedad,True
transfermarkt,la_liga,2006/07,Athletic Bilbao,Ath Bilbao,True
transfermarkt,la_liga,2006/07,Celta de Vigo,Celta,True
transfermarkt,la_liga,2006/07,Levante UD,Levante,True
transfermarkt,la_liga,2007/08,FC Barcelona,Barcelona,True
transfermarkt,la_liga,2007/08,Real Zaragoza,Zaragoza,True
transfermarkt,la_liga,2007/08,Getafe CF,Getafe,True
transfermarkt,la_liga,2007/08,Levante UD,Levante,True
transfermarkt,la_liga,2007/08,RCD Espanyol Barcelona,,False
transfermarkt,la_liga,2007/08,UD Almería,Almeria,True
transfermarkt,la_liga,2007/08,Racing Santander,Santander,True
transfermarkt,la_liga,2007/08,Valencia CF,Valencia,True
transfermarkt,la_liga,2007/08,Real Murcia CF,Murcia,True
transfermarkt,la_liga,2007/08,Recreativo Huelva,,False
transfermarkt,la_liga,2007/08,Real Betis Balompié,,False
transfermarkt,la_liga,2007/08,Sevilla FC,Sevilla,True
transfermarkt,la_liga,2008/09,Recreativo Huelva,,False
transfermarkt,la_liga,2008/09,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2008/09,Villarreal CF,Villarreal,True
transfermarkt,la_liga,2008/09,Racing Santander,Santander,True
transfermarkt,la_liga,2008/09,Real Betis Balompié,,False
transfermarkt,la_liga,2008/09,Málaga CF,Malaga,True
transfermarkt,la_liga,2008/09,CD Numancia,Numancia,True
transfermarkt,la_liga,2008/09,Getafe CF,Getafe,True
transfermarkt,la_liga,2008/09,Atlético de Madrid,Ath Madrid,True
transfermarkt,la_liga,2008/09,RCD Espanyol Barcelona,,False
transfermarkt,la_liga,2008/09,UD Almería,Almeria,True
transfermarkt,la_liga,2008/09,CA Osasuna,Osasuna,True
transfermarkt,la_liga,2009/10,Xerez CD,Xerez,True
transfermarkt,la_liga,2009/10,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2009/10,CD Tenerife,Tenerife,True
transfermarkt,la_liga,2009/10,Real Valladolid CF,Valladolid,True
transfermarkt,la_liga,2009/10,Málaga CF,Malaga,True
transfermarkt,la_liga,2009/10,RCD Mallorca,Mallorca,True
transfermarkt,la_liga,2009/10,Sevilla FC,Sevilla,True
transfermarkt,la_liga,2009/10,Villarreal CF,Villarreal,True
transfermarkt,la_liga,2009/10,UD Almería,Almeria,True
transfermarkt,la_liga,2009/10,Real Zaragoza,Zaragoza,True
transfermarkt,la_liga,2009/10,Racing Santander,Santander,True
transfermarkt,la_liga,2009/10,Atlético de Madrid,Ath Madrid,True
transfermarkt,la_liga,2010/11,Athletic Bilbao,Ath Bilbao,True
transfermarkt,la_liga,2010/11,Hércules CF,Hercules,True
transfermarkt,la_liga,2010/11,UD Almería,Almeria,True
transfermarkt,la_liga,2010/11,Getafe CF,Getafe,True
transfermarkt,la_liga,2010/11,Levante UD,Levante,True
transfermarkt,la_liga,2010/11,Racing Santander,Santander,True
transfermarkt,la_liga,2010/11,Sevilla FC,Sevilla,True
transfermarkt,la_liga,2010/11,Real Sociedad,Sociedad,True
transfermarkt,la_liga,2010/11,Deportivo de La Coruña,La Coruna,True
transfermarkt,la_liga,2010/11,Atlético de Madrid,Ath Madrid,True
transfermarkt,la_liga,2010/11,CA Osasuna,Osasuna,True
transfermarkt,la_liga,2010/11,Real Zaragoza,Zaragoza,True
transfermarkt,la_liga,2010/11,Málaga CF,Malaga,True
transfermarkt,la_liga,2011/12,Valencia CF,Valencia,True
transfermarkt,la_liga,2011/12,Granada CF,Granada,True
transfermarkt,la_liga,2011/12,FC Barcelona,Barcelona,True
transfermarkt,la_liga,2011/12,Rayo Vallecano,Vallecano,True
transfermarkt,la_liga,2011/12,Racing Santander,Santander,True
transfermarkt,la_liga,2011/12,Villarreal CF,Villarreal,True
transfermarkt,la_liga,2011/12,Sporting Gijón,Sp Gijon,True
transfermarkt,la_liga,2011/12,Sevilla FC,Sevilla,True
transfermarkt,la_liga,2011/12,Real Zaragoza,Zaragoza,True
transfermarkt,la_liga,2011/12,Atlético de Madrid,Ath Madrid,True
transfermarkt,la_liga,2011/12,RCD Mallorca,Mallorca,True
transfermarkt,la_liga,2012/13,RCD Mallorca,Mallorca,True
transfermarkt,la_liga,2012/13,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2012/13,Athletic Bilbao,Ath Bilbao,True
transfermarkt,la_liga,2012/13,Real Sociedad,Sociedad,True
transfermarkt,la_liga,2012/13,Málaga CF,Malaga,True
transfermarkt,la_liga,2012/13,Valencia CF,Valencia,True
transfermarkt,la_liga,2012/13,Levante UD,Levante,True
transfermarkt,la_liga,2012/13,Real Valladolid CF,Valladolid,True
transfermarkt,la_liga,2012/13,Real Zaragoza,Zaragoza,True
transfermarkt,la_liga,2012/13,Celta de Vigo,Celta,True
transfermarkt,la_liga,2012/13,FC Barcelona,Barcelona,True
transfermarkt,la_liga,2012/13,Deportivo de La Coruña,La Coruna,True
transfermarkt,la_liga,2012/13,Granada CF,Granada,True
transfermarkt,la_liga,2012/13,Sevilla FC,Sevilla,True
transfermarkt,la_liga,2012/13,RCD Espanyol Barcelona,,False
transfermarkt,la_liga,2013/14,FC Barcelona,Barcelona,True
transfermarkt,la_liga,2013/14,CA Osasuna,Osasuna,True
transfermarkt,la_liga,2013/14,Celta de Vigo,Celta,True
transfermarkt,la_liga,2013/14,Málaga CF,Malaga,True
transfermarkt,la_liga,2013/14,Granada CF,Granada,True
transfermarkt,la_liga,2013/14,Real Betis Balompié,,False
transfermarkt,la_liga,2013/14,RCD Espanyol Barcelona,,False
transfermarkt,la_liga,2013/14,Levante UD,Levante,True
transfermarkt,la_liga,2013/14,Real Valladolid CF,Valladolid,True
transfermarkt,la_liga,2013/14,Getafe CF,Getafe,True
transfermarkt,la_liga,2013/14,Valencia CF,Valencia,True
transfermarkt,la_liga,2014/15,Real Madrid,Real Madrid,True
transfermarkt,la_liga,2014/15,Getafe CF,Getafe,True
transfermarkt,la_liga,2014/15,SD Eibar,Eibar,True
transfermarkt,la_liga,2014/15,Elche CF,Elche,True
transfermarkt,la_liga,2014/15,Córdoba CF,Cordoba,True
transfermarkt,la_liga,2014/15,Granada CF,Granada,True
